Time,Pitch,Error,dError,IntError,ControlSignal
15971,-1.24342,0.581195,-4.30741,0.0841781,5.81195
15975,-1.25921,0.565405,-3.81854,0.086516,5.65405
15979,-1.26438,0.560231,-1.26506,0.0888075,5.60231
15983,-1.28023,0.544379,-3.68741,0.0911477,5.44379
15987,-1.29119,0.533421,-2.50697,0.0934793,5.33421
15992,-1.30247,0.522144,-2.73995,0.0956283,5.22144
15996,-1.30165,0.522962,0.196625,0.0978023,5.22962
16000,-1.31806,0.506554,-3.97867,0.0998913,5.06554
16004,-1.337,0.487609,-4.45483,0.101965,4.87609
16008,-1.35912,0.465489,-5.36639,0.103884,4.65489
16013,-1.37886,0.445749,-4.60373,0.105795,4.45749
16017,-1.39514,0.429477,-3.98949,0.107547,4.29477
16021,-1.421,0.403613,-6.23897,0.10922,4.03613
16025,-1.44716,0.377452,-6.34703,0.110776,3.77452
16029,-1.47636,0.348248,-7.1353,0.112201,3.48248
16033,-1.4972,0.327415,-5.10519,0.113537,3.27415
16037,-1.53414,0.290471,-9.02097,0.114727,2.90471
16041,-1.57172,0.252893,-9.1197,0.115769,2.52893
16046,-1.61999,0.204623,-9.66596,0.116791,2.04623
16050,-1.66243,0.162181,-10.1709,0.117467,1.62181
16055,-1.69948,0.125137,-8.87696,0.11799,1.25137
16059,-1.72035,0.10426,-4.97634,0.118427,1.0426
16063,-1.75055,0.0740629,-7.05915,0.118744,0.740629
16067,-1.78018,0.0444291,-6.80692,0.118937,0.444291
16072,-1.80421,0.0204073,-5.73437,0.119023,0.204073
16076,-1.83624,-0.0116253,-7.64296,0.118974,-0.116253
16080,-1.86932,-0.0447106,-7.64237,0.11878,-0.447106
16084,-1.89111,-0.0664968,-5.00829,0.118491,-0.664968
16089,-1.91179,-0.0871812,-4.75827,0.118112,-0.871812
16093,-1.93436,-0.109745,-5.44291,0.117657,-1.09745
16097,-1.9379,-0.11329,-0.860187,0.11719,-1.1329
16101,-1.94048,-0.11587,-0.611787,0.116702,-1.1587
16106,-1.93569,-0.111077,1.08297,0.11621,-1.11077
16110,-1.93439,-0.109777,0.305432,0.115743,-1.09777
16114,-1.92987,-0.105257,1.05639,0.115292,-1.05257
16118,-1.92228,-0.0976634,1.84354,0.11489,-0.976634
16123,-1.92874,-0.10413,-1.568,0.11446,-1.0413
